#id,fairspan_max_span,ndpso_avg_max_span,ndpso_min_max_span,ndpso_max_max_span,fairspan_total_time,ndpso_avg_pre_time,ndpso_min_pre_time,ndpso_max_pre_time,ndpso_avg_post_time,ndpso_min_post_time,ndpso_max_post_time,ndpso_avg_total_time,ndpso_amin_total_time,ndpso_max_total_time
6481,0.3970588235,0.3233193277,0.2773109244,0.3882352941,0,3229.4,3138,3338,0,0,0,3229.4,3138,3338
6482,0.2037037037,0.1481318949,0.1294117647,0.170984456,0,3191.3,3036,3316,0,0,0,3191.3,3036,3316
6483,0.1300813008,0.0954809337,0.0903954802,0.0985074627,0,3107.2,3034,3201,0,0,0,3107.2,3034,3201
6484,0.8897637795,0.6288091202,0.5576923077,0.7176470588,0,3515.7,3087,4939,0,0,0,3515.7,3087,4939
6485,0.608490566,0.488286792,0.4459459459,0.6229508197,0,3192.3,3067,3280,0,0,0,3192.3,3067,3280
6486,0.3291139241,0.2578448484,0.23125,0.2774193548,0,3128.3,3042,3209,0,0,0,3128.3,3042,3209
6487,1.5476190476,1.2201842367,1.0361445783,1.4626865672,0,3196,3126,3289,0,0,0,3196,3126,3289
6488,0.75,0.6102577581,0.5428571429,0.6734693878,0,3069.6,2975,3142,0,0,0,3069.6,2975,3142
6489,0.3769230769,0.3109621183,0.2871794872,0.3586956522,0,3125.2,3073,3245,0,0,0,3125.2,3073,3245
6490,0.275,0.3005240234,0.2796610169,0.34375,0,5199.2,4716,6045,0,0,0,5199.2,4716,6045
